Species,Individual,Bag code,Dimension,MeasurementNo,Measurement
Middle-barred Minor,1,B9,Forewing,1,10
Middle-barred Minor,1,B9,Forewing,2,10
Middle-barred Minor,1,B9,Forewing,3,10
Middle-barred Minor,1,B9,BodyMass,1,0.0084
Middle-barred Minor,1,B9,BodyMass,2,0.0084
Middle-barred Minor,1,B9,BodyMass,3,0.0084
Middle-barred Minor,2,B91,Forewing,1,11
Middle-barred Minor,2,B91,Forewing,2,10
Middle-barred Minor,2,B91,Forewing,3,10
Middle-barred Minor,2,B91,BodyMass,1,0.0104
Middle-barred Minor,2,B91,BodyMass,2,0.0104
Middle-barred Minor,2,B91,BodyMass,3,0.0103
Middle-barred Minor,3,B5,Forewing,1,10
Middle-barred Minor,3,B5,Forewing,2,10
Middle-barred Minor,3,B5,Forewing,3,11
Middle-barred Minor,3,B5,BodyMass,1,0.0091
Middle-barred Minor,3,B5,BodyMass,2,0.0098
Middle-barred Minor,3,B5,BodyMass,3,0.0102
Middle-barred Minor,3,B5,BodyMass,4,0.0099
Middle-barred Minor,4,B42,Forewing,1,10
Middle-barred Minor,4,B42,Forewing,2,10
Middle-barred Minor,4,B42,Forewing,3,10
Middle-barred Minor,4,B42,BodyMass,1,0.008
Middle-barred Minor,4,B42,BodyMass,2,0.0088
Middle-barred Minor,4,B42,BodyMass,3,0.0084
Middle-barred Minor,4,B42,BodyMass,4,0.0081
Middle-barred Minor,5,B62,Forewing,1,10
Middle-barred Minor,5,B62,Forewing,2,10
Middle-barred Minor,5,B62,Forewing,3,10
Middle-barred Minor,5,B62,BodyMass,1,0.0118
Middle-barred Minor,5,B62,BodyMass,2,0.0118
Middle-barred Minor,5,B62,BodyMass,3,0.0118
Poplar Hawk-moth,1,E103,Forewing,1,34
Poplar Hawk-moth,1,E103,Forewing,2,35
Poplar Hawk-moth,1,E103,Forewing,3,35
Poplar Hawk-moth,1,E103,BodyMass,1,0.3641
Poplar Hawk-moth,1,E103,BodyMass,2,0.3643
Poplar Hawk-moth,1,E103,BodyMass,3,0.3645
Poplar Hawk-moth,2,G103,Forewing,1,38
Poplar Hawk-moth,2,G103,Forewing,2,38
Poplar Hawk-moth,2,G103,Forewing,3,38
Poplar Hawk-moth,2,G103,BodyMass,1,0.2817
Poplar Hawk-moth,2,G103,BodyMass,2,0.2812
Poplar Hawk-moth,2,G103,BodyMass,3,0.2816
Poplar Hawk-moth,3,H103,Forewing,1,35
Poplar Hawk-moth,3,H103,Forewing,2,35
Poplar Hawk-moth,3,H103,Forewing,3,35
Poplar Hawk-moth,3,H103,BodyMass,1,0.3328
Poplar Hawk-moth,3,H103,BodyMass,2,0.3329
Poplar Hawk-moth,3,H103,BodyMass,3,0.333
Poplar Hawk-moth,4,J103,Forewing,1,32
Poplar Hawk-moth,4,J103,Forewing,2,32
Poplar Hawk-moth,4,J103,Forewing,3,34
Poplar Hawk-moth,4,J103,BodyMass,1,0.3057
Poplar Hawk-moth,4,J103,BodyMass,2,0.3054
Poplar Hawk-moth,4,J103,BodyMass,3,0.3057
Poplar Hawk-moth,5,L103,Forewing,1,38
Poplar Hawk-moth,5,L103,Forewing,2,38
Poplar Hawk-moth,5,L103,Forewing,3,38
Poplar Hawk-moth,5,L103,BodyMass,1,0.4699
Poplar Hawk-moth,5,L103,BodyMass,2,0.4697
Poplar Hawk-moth,5,L103,BodyMass,3,0.4696
