ID,0,1,2,3,4,5,6,7,8,9
G103,873.6,,,604.4,541.9,469.4,407.7,361.4,,
E103,687.5,647.4,588.1,,,379.8,371.3,369.1,370.3,368.2
H103,679.8,,,522.6,474.9,413.5,381.4,356,,
I103,616.6,,,430,375.2,336.2,326.4,319.7,,
F70,580.2,552.1,,,448.6,440.4,432.7,427.1,420.2,
G8,580.1,,,444,431,414.8,398.7,379.4,,
F103,575.9,,,336,302.6,292.5,292.8,291.4,,
G79,488.5,422.8,,,310,305.1,302.1,302.9,301.4,
F77,468.7,429.7,375.1,318.9,242.5,,,196.5,196,
F79,385.5,337.7,272.6,235.7,214.5,,,162.9,160.4,
G75,371.6,336.5,,,211.1,197.8,185.3,184.6,183.5,
F88,356.7,308.5,248.1,197.5,160.7,,,152.1,151.1,
G9,317.8,283.4,,,166.6,158.6,154.8,155.1,153.4,
F44,317.0,291.8,,,170,164.7,163.5,164,163,
G49,294.8,236.7,,,157.6,141.8,139.6,139.6,139,
F2,288.9,262.9,237.4,,,150.5,145,144,141.2,140.4
F16,277.9,235.0,194.1,179.3,162.5,,,109.2,107.1,
F61,268.4,241.9,,,131.8,128.6,128.5,128.6,127.4,
G14,267.2,227.5,181.9,,,104.1,103.9,103.2,103.6,102.5
F35,252.5,200.6,145.3,94.6,92.3,,,90.8,90.6,
G16,245.7,206.2,165.9,,,92.3,92.1,91.1,91.6,90.7
F18,234.9,218.7,190.8,,,113.8,109.8,105.9,106.7,105.3
F24,229.3,191.2,,,102.7,101.2,101,101.3,101.1,
F100,211.1,156.9,97.5,,,90.7,90.7,90.2,90.8,90.3
F54,202.2,163.5,105.7,80.2,79.8,,,79.1,79.1,
F85,191.7,151.2,112,,,75.9,75.8,75.4,75.6,74.6
F72,184.7,162.9,137.7,115.7,94,,,82.8,82.4,
D6,172.9,150.3,113.3,84.4,76.3,,,74.3,73.7,
G10,167.6,,,59.9,57.6,57,57.3,56.7,,
G47,155.8,132.4,107.4,,,64.8,64.8,63.7,64.7,64
F102,148.3,125.7,,,75.2,75,74.6,74.6,74.7,
F90,143.1,104.9,62.3,56,55.9,,,55.1,55.1,
F1,141.4,105.3,74.4,65,64.7,,,64.1,64.4,
F91,134.1,107.0,71.6,,,45.5,45.8,45.1,45.3,45.1
D69,119.3,73.3,53.2,,,49,48.8,48.8,48.2,48.2
F5,119.0,85.2,49.6,,,38.7,38,37.7,38.4,37.9
G11,109.4,,,43.6,42.4,42.4,42.7,42.6,,
G39,108.1,,,38.9,39.2,38.8,39.1,37.7,,
F4,106.2,,,44.7,43.6,42.3,41.5,40.9,,
E71,104.1,60.1,46,45.8,45.8,,,45.1,45.5,
G77,98.9,,,43.1,43,42.3,42.6,42.1,,
D16,97.8,59.5,54.1,44.7,44.2,,,44,43.8,
F43,96.1,,,45.2,44.4,44.1,44.5,44.1,,
F10,94.3,,,41.4,37.6,37.1,37.2,36.8,,
F7,85.1,65.9,40.7,30.9,29.7,,,29.2,29.2,
G82,79.2,71.8,,,41.7,39.2,37.6,37.4,36.5,
E80,78.1,44.4,30.6,30.6,30.6,,,30.6,30.4,
F42,76.1,,,45.3,44.7,44.3,44.1,44.1,,
F51,72.7,53.0,52.6,,,51.7,51.9,51.2,51.4,50.3
D43,70.8,52.3,34.6,28.8,27.3,,,27.3,27.7,
F98,67.4,55.6,,,26.1,26.3,26.2,26.3,25.9,
G70,66.3,,,26,25.6,25.3,25.5,25.2,,
G50,64.4,47.6,30,,,25.9,25.9,25.9,26,25.6
F46,64.0,34.6,21.6,21.8,21.8,,,21.4,21,
E17,61.6,48.7,47.5,47.7,47.6,,,47,46.9,
F62,59.6,38.5,38.5,,,38,37.9,37.9,37.7,37.2
G7,49.7,,,23.9,22.6,21.7,21.2,19.7,,
F3,48.0,30.5,19.1,19.4,19.5,,,19.3,19.3,
E90,47.2,37.0,36.8,37.2,36.8,,,36.3,35.9,
E68,45.8,36.7,36.2,36.3,36.2,,,36.1,36.1,
F71,45.4,42.3,41.7,,,41,41.3,40.2,41.2,40.4
D27,42.4,24.8,20,,,19.5,19.5,19.1,19.5,19
D3,41.7,34.5,34.5,34.7,34.5,,,34.4,34,
F76,41.6,31.7,23.7,,,16.7,16.2,15.2,15.2,14.9
D73,39.6,32.3,32.3,31.8,32.5,,,32,32,
E56,38.8,31.1,30.8,31.8,31.4,,,31.4,31.4,
F50,37.7,26.3,15.4,,,12.4,12,12.1,12.2,12.5
E89,35.8,26.6,26.7,17.2,14.8,,,14,13.5,
F75,35.8,,,21,20.5,20.7,21.3,20.6,,
G48,30.8,25.3,16.4,,,11.4,11.8,11.5,11.5,11.5
